video_day,source_folder,video_name,frame_id,class_name,object_id,track_id,is_3D_complete,in_image_borders,does_overlap,is_front_fish,aspect_ratio,fish_3d_ok,overlapping_fish_ids,fish_direction,elevation_deg,azimuth_deg,raw_length,filtered_length,spine_length,gt,abs_error_cm,rel_error_%,fish_dist_from_camera,especie_gt,failure_reason,unique_track,scenario
2024_11_12,10_44_11_0,10_44_11_0,frame_189,0,255,3,0,False,False,True,2.3348875045776367,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_190,0,255,3,0,False,False,True,2.542473793029785,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_191,0,255,3,0,False,False,True,2.6454670429229736,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_192,0,255,3,0,False,False,True,2.427215337753296,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_193,0,255,3,0,False,False,True,1.9108415842056277,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_194,0,255,3,0,False,False,True,1.807198405265808,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_195,0,255,3,0,False,False,True,1.7466604709625244,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_200,0,255,3,0,False,False,True,1.762037754058838,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_201,0,255,3,0,False,False,True,1.6099331378936768,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_202,0,255,3,0,False,False,True,1.5318388938903809,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_203,0,255,3,0,False,False,True,1.4739574193954468,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_204,0,255,3,0,True,False,True,1.5265100002288818,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_205,0,255,3,0,True,False,True,1.6002655029296875,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_206,0,255,3,0,True,False,True,2.1630680561065674,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_212,0,255,3,0,False,False,True,2.7219278812408447,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_213,0,255,3,0,False,False,True,2.8277554512023926,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_216,0,255,3,0,False,False,True,1.9145950078964236,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_217,0,255,3,0,False,False,True,1.5917577743530271,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_243,0,255,3,1,True,False,True,1.7421934604644775,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_258,0,255,3,1,True,False,True,1.6588373184204102,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_261,0,255,3,0,True,False,True,1.815347909927368,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_269,0,255,3,0,True,False,True,1.5449986457824707,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_270,0,255,3,0,True,False,True,1.390222191810608,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_271,0,255,3,0,True,False,True,1.3033112287521362,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_282,0,255,3,1,True,False,True,2.328148603439331,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_285,0,255,3,1,False,False,True,0.0,False,[],[    0.38489    -0.41355     0.82513],3.5003125239322235,-21.62736102409015,1.91657092620337,0.3049564617242839,0.2790926015312214,31.5,1.004353827571606,3.188424849433676,0.6949216007899166,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_286,0,255,3,1,False,False,True,0.0,False,[],[     0.4619    -0.36062     0.81031],3.726351649196713,-14.54635793784477,1.1114677115641942,0.3081987008186351,0.2869837597784439,31.5,0.6801299181364904,2.1591425972587,0.6988558915204415,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_287,0,255,3,0,False,False,True,2.411041259765625,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_288,0,255,3,1,False,False,True,0.0,False,[],[     0.2998    -0.30479       0.904],-2.3559486048973763,-6.160838195957759,1.1724937026428182,0.3128052852512374,0.3056987424727642,31.5,0.21947147487625784,0.6967348408770139,0.6959886623286319,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_289,0,255,3,1,True,False,True,2.5381691455841064,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_290,0,255,3,1,True,False,True,2.8748157024383545,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_292,0,255,3,1,True,False,True,3.973630666732788,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_293,0,255,-1,1,False,False,True,1.1461538076400757,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/-1,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_299,0,255,-1,0,True,False,True,4.865265846252441,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/-1,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_300,0,255,7,1,True,False,True,3.8280515670776367,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/7,single_fish
