video_day,source_folder,video_name,frame_id,class_name,object_id,track_id,is_3D_complete,in_image_borders,does_overlap,is_front_fish,aspect_ratio,pointcloud_size_ok,fish_3d_ok,overlapping_fish_ids,fish_direction,elevation_deg,azimuth_deg,raw_length,filtered_length,spine_length,rel_error_%,fish_dist_from_camera,unique_track,especie_gt,gt,failure_reason,abs_error_cm
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_48,0,255,1,1,False,False,True,2.792265057951409,True,True,[],[     0.1046     0.04321     0.99358],16.628580269801486,-4.19446333299544,0.5416623447698712,0.2150325445814931,0.2242445883222573,35.81118072194234,1.7554552586653758,2025_05_08/11-28-42_0/1,ochoa_petita,30.5,,8.99674554185069
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_48,0,127,2,1,True,False,True,3.792820633083745,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_49,0,255,1,1,False,False,True,2.7760001412273083,True,True,[],[    0.14236    0.048325     0.98863],18.19641783835681,-0.2137487190701802,0.552890767316049,0.2254403210279154,0.2347466363194763,32.70438178271181,1.7566896508697296,2025_05_08/11-28-42_0/1,ochoa_petita,30.5,,7.95596789720846
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_49,0,127,2,1,True,False,True,4.231229892385747,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_50,0,255,1,1,False,False,True,2.790985537301535,True,True,[],[    0.14443    0.048026     0.98835],20.52370228782961,2.235611497462952,0.5485641112971713,0.2378484543105291,0.2520506702470707,29.00046139984205,1.7549626881664473,2025_05_08/11-28-42_0/1,ochoa_petita,30.5,,6.715154568947092
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_50,0,127,2,1,True,False,True,4.091381392285738,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_51,0,255,2,1,True,False,True,4.016765296053125,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_52,0,255,2,1,True,False,True,4.089611799813393,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_53,0,255,2,1,True,False,True,4.203164606538556,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_54,0,255,2,1,True,False,True,4.074605365719783,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
